STATE,zipcode,N1,MARS1,MARS2,MARS4,PREP,N2,NUMDEP,TOTAL_VITA,VITA,TCE,VITA_EIC,RAL,RAC,ELDERLY,A00100,N02650,A02650,A00200,N00200,N00300,A00300,SCHF,N02300,A02300,N02500,A02500,N06500,A06500,N10300,A10300,N19700,A19700
GA,31089,1880,730,500,630,1250,3910,1630,0,0,0,0,60,720,380,68771,1880,69366,52356,1620,350,217,110,50,108,210,2605,920,4998,1100,5532,400,2012
GA,31090,370,150,140,90,260,760,280,0,0,0,0,0,130,110,14179,370,14256,10553,300,80,20,0,0,0,80,639,220,961,240,1046,90,454
GA,31091,1060,400,280,370,600,2260,960,0,0,0,0,20,350,260,37986,1060,38390,28050,900,180,116,60,30,58,130,1294,510,2346,630,2702,210,1124
GA,31092,2140,770,650,690,1340,4600,1910,0,0,0,0,60,640,490,86543,2140,87878,61390,1820,390,600,130,80,135,290,3672,1090,7217,1290,8139,400,2972
GA,31093,11960,5060,3050,3630,5020,24080,9500,730,70,650,0,420,3570,2560,444582,11960,448101,321393,9890,2320,1638,30,340,837,1490,15456,6420,34641,7750,37395,2280,13477
GA,31094,450,180,170,100,270,930,330,0,0,0,0,0,130,110,18995,450,19119,14587,380,110,37,30,0,0,60,813,260,1452,310,1584,140,636
GA,31096,2160,770,690,660,1540,4650,1900,0,0,0,0,40,720,470,83735,2160,84432,63194,1830,460,343,220,90,202,260,3024,1130,5500,1360,6054,480,2515
GA,31097,530,210,240,90,340,1070,330,0,0,0,0,0,110,120,23775,530,23908,16932,440,110,54,30,20,39,90,1003,350,1912,400,2048,110,444
GA,31098,1230,540,470,190,310,2710,1060,60,60,0,0,0,300,50,49522,1230,49923,45043,1190,150,43,0,30,105,40,357,800,3339,840,3435,100,600
GA,31201,2760,1450,360,920,1350,5010,2000,70,40,30,0,110,1000,420,114425,2760,117248,72624,2380,310,354,0,70,147,160,2264,1270,12476,1710,14122,380,4156
GA,31204,12280,5590,2360,4110,6430,24230,10080,290,140,160,30,400,4180,2610,465445,12280,472199,326669,10210,1910,2328,30,310,809,1390,17759,6080,42246,7770,47177,2500,15385
GA,31206,10140,4250,1200,4490,5490,21510,10570,260,110,150,40,420,4580,1490,239930,10140,242286,194830,8720,670,312,0,350,934,630,5299,3580,10060,5490,12900,1370,6762
GA,31210,15300,6750,5550,2630,8090,29720,9860,180,60,120,0,140,2810,4180,1284439,15300,1309767,780839,12380,4970,9475,120,250,798,2780,48234,10640,191233,11570,205688,5610,61212
GA,31211,6690,2850,1780,1890,3430,13170,5000,100,40,60,0,120,2050,1570,291757,6690,294863,207538,5560,1200,927,30,170,429,990,13587,3880,25402,4540,27788,1860,12460
GA,31216,6870,2730,2730,1210,3350,13860,4620,130,20,110,0,50,1320,1880,370552,6870,374149,267793,5580,2010,1889,40,150,368,1250,15164,4800,35007,5260,37403,2350,13756
GA,31217,6960,2820,1540,2420,3350,14080,5840,160,80,70,30,210,2550,1420,214621,6960,216172,167277,5870,720,308,40,250,515,770,8067,3330,12856,4300,14153,1230,6769
GA,31220,6400,2690,2310,1240,3190,12650,4380,70,20,50,0,70,1440,1560,427087,6400,433314,289794,5380,1670,2672,50,130,374,1010,14077,4270,52516,4750,56158,2200,16495
GA,31301,1500,560,490,400,710,3270,1320,40,40,0,0,0,570,190,54367,1500,54864,44101,1340,200,37,0,40,133,100,954,780,3574,920,3889,270,1372
GA,31302,3310,1310,1400,540,1500,6880,2310,30,30,0,0,0,790,700,161954,3310,163414,129331,2850,560,550,30,90,250,440,5231,2220,14746,2480,15793,800,3573
GA,31303,930,370,400,160,480,1910,650,0,0,0,0,0,250,210,45880,930,46234,36148,810,160,109,30,0,0,110,1262,620,3914,680,4182,250,1278
GA,31305,2210,930,710,510,1180,4220,1410,20,0,20,0,0,590,610,88708,2210,89825,60446,1770,430,327,0,50,136,370,4528,1280,7374,1520,8086,490,2203
GA,31308,3140,1100,1350,620,1540,6900,2540,30,30,0,0,0,830,580,141304,3140,142429,117600,2730,460,340,40,110,279,350,3798,2040,10797,2330,11674,620,2306
GA,31309,380,150,160,70,170,800,280,0,0,0,0,0,120,70,17118,380,17233,14878,330,70,13,0,0,0,40,426,240,1255,270,1336,90,387
GA,31312,8160,2810,4000,1130,3410,18310,6710,120,120,0,30,0,1830,1370,480297,8160,484844,408072,7300,1540,900,90,200,555,880,11223,5960,43866,6460,46266,2610,11164
GA,31313,15870,5700,5900,3590,6770,33990,12790,850,820,30,30,60,5220,2100,600401,15870,605805,488255,14220,2240,1061,40,440,1368,1280,13733,9070,39597,10220,42277,2890,15531
