"","STATE","zipcode","N1","NUMDEP","A00100","SCHF","A06500","A10300","A19700"
"299","GA",30622,4130,3240,352401,60,40903,53606,11238
"300","GA",30624,1070,820,40000,80,2771,3292,981
"301","GA",30625,990,540,67464,50,6907,7355,1937
"302","GA",30627,860,670,31748,50,2127,2454,601
"303","GA",30628,2740,2100,132310,90,11795,12726,3129
"304","GA",30629,1860,1410,82457,100,6731,7378,1341
"305","GA",30630,1000,720,40263,50,3030,3353,685
"306","GA",30631,610,460,20965,30,1384,1550,550
"307","GA",30633,3320,2190,145392,190,11624,13021,2942
"308","GA",30634,910,770,36848,80,2642,3136,913
"309","GA",30635,6260,5170,255613,200,21835,24413,6647
"310","GA",30641,730,470,44660,40,4761,5047,1839
"311","GA",30642,5340,3030,567592,110,94418,100023,25071
"312","GA",30643,6590,4490,318980,200,32545,35188,8444
"313","GA",30646,3080,2480,145948,90,11994,13123,3929
"314","GA",30648,1070,800,48558,50,3938,4341,1202
"315","GA",30650,5460,3990,325458,260,38847,42027,11863
"316","GA",30655,10360,8380,554421,110,58116,62935,23422
"317","GA",30656,6990,5030,391838,80,40243,43153,10480
"318","GA",30660,390,320,13305,30,811,1070,258
"319","GA",30662,3050,2220,130031,220,11408,12806,3116
"320","GA",30663,1310,930,68738,50,6538,7075,1882
"321","GA",30666,3870,2940,260107,50,33736,35921,8608
"322","GA",30667,340,270,15360,30,1336,1425,283
"323","GA",30668,680,470,27395,70,2144,2323,522
"324","GA",30669,1240,1070,40317,30,2463,2816,876
"325","GA",30673,2960,2420,121859,170,10121,11032,3072
"326","GA",30677,8470,6300,844348,210,129694,135929,44068
"327","GA",30678,460,320,24367,30,2434,2704,501
"328","GA",30680,17920,14050,823280,170,71909,78250,19471
"329","GA",30683,3170,2040,147258,50,13009,14129,3546
"330","GA",30701,15590,14970,731479,260,65972,70976,20630
"331","GA",30705,12390,11250,516284,180,43980,47279,8264
"332","GA",30707,6150,4280,287332,150,24688,26987,6716
"333","GA",30708,140,100,5125,0,323,375,0
"334","GA",30710,2590,1870,144614,60,15376,16239,3917
"335","GA",30711,1290,1000,50972,60,3468,3856,657
"336","GA",30720,11080,10350,762194,50,114846,120953,40605
"337","GA",30721,20830,25450,762287,120,52782,57560,14291
"338","GA",30725,1870,1290,93214,0,8593,9552,2647
